image_stem,seed,edit_index,family,attempt,reasons,mask_area_ratio,bbox_xyxy,bbox_aspect_ratio,relative_bbox_width,relative_bbox_height,perimeter,compactness,connected_components,largest_component_ratio,largest_component_ratio_lower_bound,skeleton_length,elongation_score,boundary_score
642,0,1,D_boundary_evolution,1,D_COMPONENT_COUNT|D_LARGEST_COMPONENT_RATIO,0.00577880859375,"[312, 261, 562, 400]",1.792857142857143,0.3921875,0.21875,1465.0,0.013859031203246705,18,0.3240388677651035,0.3240388677651035,775,1.7485747340768274,0.6189269117025771
661,0,0,D_boundary_evolution,1,D_COMPONENT_COUNT|D_LARGEST_COMPONENT_RATIO,0.00505859375,"[340, 184, 531, 325]",1.352112676056338,0.3,0.221875,1370.0,0.013872619698946244,14,0.5072393822393823,0.5072393822393823,691,1.2458456912074936,0.6611969111969112
666,0,0,D_boundary_evolution,1,D_COMPONENT_COUNT,0.0073193359375,"[116, 239, 327, 402]",1.2926829268292683,0.33125,0.25625,1579.0,0.015110444237780782,2,0.9979986657771848,0.9979986657771848,753,1.2263626275206445,0.5266844563042028
666,0,0,D_boundary_evolution,2,D_COMPONENT_COUNT|D_LARGEST_COMPONENT_RATIO,0.004453125,"[216, 173, 464, 328]",1.5961538461538463,0.3890625,0.24375,1291.0,0.01375251772870221,26,0.6644736842105263,0.6644736842105263,716,1.2093551935172575,0.7077850877192983
666,0,1,D_boundary_evolution,1,D_COMPONENT_COUNT|D_LARGEST_COMPONENT_RATIO,0.00449462890625,"[230, 279, 450, 388]",2.0090909090909093,0.3453125,0.171875,1338.0,0.012922645349480425,3,0.5046170559478544,0.5046170559478544,736,2.0903184632067915,0.7267789244975557
666,0,1,D_boundary_evolution,2,D_COMPONENT_COUNT|D_LARGEST_COMPONENT_RATIO,0.004453125,"[82, 504, 322, 604]",2.386138613861386,0.3765625,0.1578125,1367.0,0.012265850551157058,9,0.5158991228070176,0.5158991228070176,753,2.1034634479653804,0.7494517543859649
672,0,1,D_boundary_evolution,1,D_COMPONENT_COUNT|D_LARGEST_COMPONENT_RATIO,0.002578125,"[142, 115, 269, 184]",1.8285714285714285,0.2,0.109375,690.0,0.02787247924545954,11,0.759469696969697,0.759469696969697,365,1.7445433450193135,0.6534090909090909
685,0,2,D_boundary_evolution,1,D_COMPONENT_COUNT|D_LARGEST_COMPONENT_RATIO,0.00768310546875,"[10, 114, 283, 248]",2.0296296296296297,0.428125,0.2109375,1931.0,0.01060576645255309,5,0.8903717826501429,0.8903717826501429,1020,1.943153378191614,0.613600254210359
69,0,1,D_boundary_evolution,1,D_COMPONENT_COUNT,0.0093017578125,"[351, 255, 631, 374]",2.341666666666667,0.4390625,0.1875,1845.0,0.014065076502290214,3,0.9992125984251968,0.9992125984251968,952,2.2017452972861657,0.484251968503937
69,0,1,D_boundary_evolution,2,D_COMPONENT_COUNT|D_LARGEST_COMPONENT_RATIO,0.00355224609375,"[54, 96, 217, 236]",1.1631205673758864,0.25625,0.2203125,1112.0,0.01478642833889663,22,0.5065292096219931,0.5065292096219931,595,1.2337844682444088,0.7642611683848797
